Vaccine  ,Price Tier (group) (4.2),Source,Year (Price),Avg. Price
DT,High Income & Super HICs,V3P,2017,2.75200
DT,,UNICEF SD,2016,0.14000
DT,,PAHO,2016,0.15600
DT,China & Lower Middle Income,V3P,2016,0.83141
DT,Upper Middle Income,V3P,2016,0.73900
DT,High Income & Super HICs,V3P,2016,2.28514
DT,,UNICEF SD,2015,0.11500
DT,,PAHO,2015,0.11900
DT,China & Lower Middle Income,V3P,2015,
DT,Upper Middle Income,V3P,2015,
DT,High Income & Super HICs,V3P,2015,
DT,,UNICEF SD,2014,0.11500
DT,,PAHO,2014,0.11000
DT,Upper Middle Income,V3P,2014,
DT,,UNICEF SD,2013,0.11000
DT,,PAHO,2013,0.11150
DT,Upper Middle Income,V3P,2013,
DT,High Income & Super HICs,V3P,2013,
DT,,UNICEF SD,2012,0.10500
DT,,PAHO,2012,0.08500
DTaP,,PAHO,2021,16.52000
DTaP,USA,CDC,2021,19.22478
DTaP,,PAHO,2020,16.20000
DTaP,China & Lower Middle Income,V3P,2020,
DTaP,Upper Middle Income,V3P,2020,
DTaP,High Income & Super HICs,V3P,2020,24.24736
DTaP,USA,CDC,2020,18.68986
DTaP,,PAHO,2019,15.00000
DTaP,Upper Middle Income,V3P,2019,14.72332
DTaP,High Income & Super HICs,V3P,2019,14.31453
DTaP,USA,CDC,2019,18.35192
DTaP,,PAHO,2018,15.00000
DTaP,Upper Middle Income,V3P,2018,15.43159
DTaP,High Income & Super HICs,V3P,2018,13.66851
DTaP,USA,CDC,2018,17.87212
DTaP,,PAHO,2017,15.00000
DTaP,Upper Middle Income,V3P,2017,16.76333
DTaP,High Income & Super HICs,V3P,2017,11.56858
DTaP,USA,CDC,2017,17.21556
DTaP,,PAHO,2016,12.80000
DTaP,Upper Middle Income,V3P,2016,17.59957
DTaP,High Income & Super HICs,V3P,2016,15.77873
DTaP,USA,CDC,2016,16.69389
DTaP,,PAHO,2015,11.26335
DTaP,High Income & Super HICs,V3P,2015,
DTaP,USA,CDC,2015,15.95333
DTaP,,PAHO,2014,8.49355
DTaP,Upper Middle Income,V3P,2014,
DTaP,High Income & Super HICs,V3P,2014,
DTaP,USA,CDC,2014,15.66370
DTaP,,PAHO,2013,9.83970
DTaP,High Income & Super HICs,V3P,2013,
DTaP,USA,CDC,2013,15.58148
DTaP,,PAHO,2012,10.50000
DTaP,USA,CDC,2012,14.91758
DTaP-HepB-IPV,USA,CDC,2021,61.69956
DTaP-HepB-IPV,High Income & Super HICs,V3P,2020,
DTaP-HepB-IPV,USA,CDC,2020,60.15600
DTaP-HepB-IPV,USA,CDC,2019,58.78000
DTaP-HepB-IPV,USA,CDC,2018,57.55000
DTaP-HepB-IPV,USA,CDC,2017,55.75000
DTaP-HepB-IPV,USA,CDC,2016,54.72667
DTaP-HepB-IPV,USA,CDC,2015,53.86000
DTaP-HepB-IPV,USA,CDC,2014,53.43333
DTaP-HepB-IPV,USA,CDC,2013,52.47333
DTaP-HepB-IPV,USA,CDC,2012,51.81500
DTaP-Hib-IPV,,PAHO,2021,16.31000
DTaP-Hib-IPV,USA,CDC,2021,62.61244
DTaP-Hib-IPV,,PAHO,2020,15.84000
DTaP-Hib-IPV,Upper Middle Income,V3P,2020,18.43795
DTaP-Hib-IPV,High Income & Super HICs,V3P,2020,24.70572
DTaP-Hib-IPV,USA,CDC,2020,60.90600
DTaP-Hib-IPV,,PAHO,2019,14.80000
DTaP-Hib-IPV,Upper Middle Income,V3P,2019,18.07535
DTaP-Hib-IPV,High Income & Super HICs,V3P,2019,22.36648
DTaP-Hib-IPV,USA,CDC,2019,59.14900
DTaP-Hib-IPV,,PAHO,2018,14.20000
DTaP-Hib-IPV,Upper Middle Income,V3P,2018,18.97695
DTaP-Hib-IPV,High Income & Super HICs,V3P,2018,24.83882
DTaP-Hib-IPV,USA,CDC,2018,57.89582
DTaP-Hib-IPV,,PAHO,2017,13.60000
DTaP-Hib-IPV,Upper Middle Income,V3P,2017,22.29839
DTaP-Hib-IPV,High Income & Super HICs,V3P,2017,25.12530
DTaP-Hib-IPV,USA,CDC,2017,56.81444
DTaP-Hib-IPV,,PAHO,2016,13.00000
DTaP-Hib-IPV,Upper Middle Income,V3P,2016,20.12721
DTaP-Hib-IPV,High Income & Super HICs,V3P,2016,23.88519
DTaP-Hib-IPV,USA,CDC,2016,56.48833
DTaP-Hib-IPV,,PAHO,2015,12.50000
DTaP-Hib-IPV,Upper Middle Income,V3P,2015,
DTaP-Hib-IPV,High Income & Super HICs,V3P,2015,
DTaP-Hib-IPV,USA,CDC,2015,53.73000
DTaP-Hib-IPV,,PAHO,2014,11.50000
DTaP-Hib-IPV,Upper Middle Income,V3P,2014,
DTaP-Hib-IPV,High Income & Super HICs,V3P,2014,
DTaP-Hib-IPV,USA,CDC,2014,53.62667
DTaP-Hib-IPV,,PAHO,2013,10.00000
DTaP-Hib-IPV,Upper Middle Income,V3P,2013,
DTaP-Hib-IPV,High Income & Super HICs,V3P,2013,
DTaP-Hib-IPV,USA,CDC,2013,55.68222
DTaP-Hib-IPV,USA,CDC,2012,53.91500
DTaP-IPV,,PAHO,2021,13.23000
DTaP-IPV,USA,CDC,2021,42.81068
DTaP-IPV,,PAHO,2020,12.84000
DTaP-IPV,Upper Middle Income,V3P,2020,19.03300
DTaP-IPV,High Income & Super HICs,V3P,2020,22.71584
DTaP-IPV,USA,CDC,2020,41.85744
DTaP-IPV,,PAHO,2019,12.00000
DTaP-IPV,Upper Middle Income,V3P,2019,16.63915
DTaP-IPV,High Income & Super HICs,V3P,2019,18.70508
DTaP-IPV,USA,CDC,2019,40.87464
DTaP-IPV,,PAHO,2018,11.50000
DTaP-IPV,Upper Middle Income,V3P,2018,17.79771
DTaP-IPV,High Income & Super HICs,V3P,2018,20.02328
DTaP-IPV,USA,CDC,2018,39.91688
DTaP-IPV,,PAHO,2017,11.00000
DTaP-IPV,Upper Middle Income,V3P,2017,16.74400
DTaP-IPV,High Income & Super HICs,V3P,2017,19.02812
DTaP-IPV,USA,CDC,2017,39.57000
DTaP-IPV,,PAHO,2016,10.40000
DTaP-IPV,Upper Middle Income,V3P,2016,14.80916
DTaP-IPV,High Income & Super HICs,V3P,2016,16.48185
DTaP-IPV,USA,CDC,2016,39.39167
DTaP-IPV,,PAHO,2015,9.55000
DTaP-IPV,Upper Middle Income,V3P,2015,
DTaP-IPV,High Income & Super HICs,V3P,2015,
DTaP-IPV,USA,CDC,2015,38.50000
DTaP-IPV,,PAHO,2014,8.60000
DTaP-IPV,Upper Middle Income,V3P,2014,
DTaP-IPV,High Income & Super HICs,V3P,2014,
DTaP-IPV,USA,CDC,2014,38.04333
DTaP-IPV,Upper Middle Income,V3P,2013,
DTaP-IPV,High Income & Super HICs,V3P,2013,
DTaP-IPV,USA,CDC,2013,36.76778
DTaP-IPV,USA,CDC,2012,35.12500
DTwP,,UNICEF SD,2021,0.16500
DTwP,,PAHO,2021,0.17730
DTwP,,UNICEF SD,2020,0.16500
DTwP,,PAHO,2020,0.18130
DTwP,China & Lower Middle Income,V3P,2020,0.28021
DTwP,Upper Middle Income,V3P,2020,1.69813
DTwP,High Income & Super HICs,V3P,2020,1.60971
DTwP,,UNICEF SD,2019,0.16500
DTwP,,PAHO,2019,0.17570
DTwP,China & Lower Middle Income,V3P,2019,0.21433
DTwP,Upper Middle Income,V3P,2019,0.33578
DTwP,High Income & Super HICs,V3P,2019,2.49603
DTwP,,UNICEF SD,2018,0.20000
DTwP,,PAHO,2018,0.16850
DTwP,China & Lower Middle Income,V3P,2018,0.37712
DTwP,Upper Middle Income,V3P,2018,0.33601
DTwP,High Income & Super HICs,V3P,2018,4.09494
DTwP,,UNICEF SD,2017,0.20000
DTwP,,PAHO,2017,0.20480
DTwP,China & Lower Middle Income,V3P,2017,0.24800
DTwP,Upper Middle Income,V3P,2017,0.40270
DTwP,High Income & Super HICs,V3P,2017,3.74425
DTwP,,UNICEF SD,2016,0.20000
DTwP,,PAHO,2016,0.22200
DTwP,China & Lower Middle Income,V3P,2016,0.22500
DTwP,Upper Middle Income,V3P,2016,0.67966
DTwP,High Income & Super HICs,V3P,2016,1.37846
DTwP,,UNICEF SD,2015,0.19700
DTwP,,PAHO,2015,0.21850
DTwP,China & Lower Middle Income,V3P,2015,
DTwP,Upper Middle Income,V3P,2015,
DTwP,High Income & Super HICs,V3P,2015,
DTwP,,UNICEF SD,2014,0.19700
DTwP,,PAHO,2014,0.21850
DTwP,China & Lower Middle Income,V3P,2014,
DTwP,Upper Middle Income,V3P,2014,
DTwP,,UNICEF SD,2013,0.19700
DTwP,,PAHO,2013,0.19700
DTwP,Upper Middle Income,V3P,2013,
DTwP,,UNICEF SD,2012,0.14100
DTwP,,PAHO,2012,0.16000
DTwP-HepB-Hib-IPV,Upper Middle Income,V3P,2020,
DTwP-Hib,,PAHO,2021,3.00000
DTwP-Hib,,PAHO,2020,3.00000
DTwP-Hib,,PAHO,2019,2.65000
DTwP-Hib,,PAHO,2018,2.65000
DTwP-Hib,Upper Middle Income,V3P,2018,2.85271
DTwP-Hib,,PAHO,2017,2.65000
DTwP-Hib,Upper Middle Income,V3P,2017,2.84000
DTwP-Hib,,PAHO,2016,2.65000
DTwP-Hib,Upper Middle Income,V3P,2016,2.73165
DTwP-Hib,,PAHO,2015,2.65000
DTwP-Hib,Upper Middle Income,V3P,2015,
DTwP-Hib,,PAHO,2014,2.65000
DTwP-Hib,,PAHO,2013,3.05000
DTwP-Hib,,PAHO,2012,3.00000
Ebola,,UNICEF SD,2021,98.60000
Ebola,,UNICEF SD,2020,98.60000
HepA,,UNICEF SD,2021,7.55000
HepA,,PAHO,2021,8.29800
HepA,USA,CDC,2021,21.25067
HepA,,UNICEF SD,2020,6.99000
HepA,,PAHO,2020,8.16600
HepA,China & Lower Middle Income,V3P,2020,7.29931
HepA,Upper Middle Income,V3P,2020,15.61100
HepA,High Income & Super HICs,V3P,2020,19.58569
HepA,USA,CDC,2020,20.60433
HepA,,PAHO,2019,8.14200
HepA,Upper Middle Income,V3P,2019,11.51987
HepA,High Income & Super HICs,V3P,2019,14.22360
HepA,USA,CDC,2019,19.85556
HepA,,PAHO,2018,8.11500
HepA,Upper Middle Income,V3P,2018,14.68369
HepA,High Income & Super HICs,V3P,2018,14.98043
HepA,USA,CDC,2018,19.25412
HepA,,PAHO,2017,8.05620
HepA,Upper Middle Income,V3P,2017,12.32640
HepA,High Income & Super HICs,V3P,2017,16.14364
HepA,USA,CDC,2017,18.35581
HepA,,PAHO,2016,8.40280
HepA,Upper Middle Income,V3P,2016,10.73797
HepA,High Income & Super HICs,V3P,2016,16.52672
HepA,USA,CDC,2016,17.89250
HepA,,PAHO,2015,8.75000
HepA,Upper Middle Income,V3P,2015,
HepA,High Income & Super HICs,V3P,2015,
HepA,USA,CDC,2015,16.85667
HepA,,PAHO,2014,7.10000
HepA,Upper Middle Income,V3P,2014,
HepA,High Income & Super HICs,V3P,2014,
HepA,USA,CDC,2014,15.98250
HepA,,PAHO,2013,7.10000
HepA,Upper Middle Income,V3P,2013,
HepA,USA,CDC,2013,15.47861
HepA,,PAHO,2012,7.10000
HepA,USA,CDC,2012,14.74457
HepA (adult),,PAHO,2021,13.08930
HepA (adult),USA,CDC,2021,34.10783
HepA (adult),,PAHO,2020,13.62940
HepA (adult),Upper Middle Income,V3P,2020,18.09238
HepA (adult),High Income & Super HICs,V3P,2020,29.36259
HepA (adult),USA,CDC,2020,31.66456
HepA (adult),,PAHO,2019,13.27790
HepA (adult),Upper Middle Income,V3P,2019,21.93419
HepA (adult),High Income & Super HICs,V3P,2019,26.29243
HepA (adult),USA,CDC,2019,29.77292
HepA (adult),,PAHO,2018,13.20000
HepA (adult),Upper Middle Income,V3P,2018,20.67472
HepA (adult),High Income & Super HICs,V3P,2018,32.92950
HepA (adult),USA,CDC,2018,28.13256
HepA (adult),,PAHO,2017,13.20000
HepA (adult),Upper Middle Income,V3P,2017,20.34211
HepA (adult),High Income & Super HICs,V3P,2017,27.72287
HepA (adult),USA,CDC,2017,27.28833
HepA (adult),,PAHO,2016,12.00000
HepA (adult),Upper Middle Income,V3P,2016,20.67787
HepA (adult),High Income & Super HICs,V3P,2016,24.90643
HepA (adult),USA,CDC,2016,26.48833
HepA (adult),,PAHO,2015,11.50000
HepA (adult),High Income & Super HICs,V3P,2015,
HepA (adult),USA,CDC,2015,25.94667
HepA (adult),,PAHO,2014,11.50000
HepA (adult),High Income & Super HICs,V3P,2014,
HepA (adult),USA,CDC,2014,24.52667
HepA (adult),,PAHO,2013,11.00000
HepA (adult),High Income & Super HICs,V3P,2013,
HepA (adult),USA,CDC,2013,23.30455
HepA (adult),,PAHO,2012,11.00000
HepA (adult),USA,CDC,2012,21.52909
HepA+B,USA,CDC,2021,64.31144
HepA+B,High Income & Super HICs,V3P,2020,38.05521
HepA+B,USA,CDC,2020,62.30133
HepA+B,USA,CDC,2019,59.91250
HepA+B,USA,CDC,2018,58.17727
HepA+B,USA,CDC,2017,56.25000
HepA+B,USA,CDC,2016,54.89045
HepA+B,USA,CDC,2015,53.27333
HepA+B,USA,CDC,2014,51.56400
HepA+B,USA,CDC,2013,50.42000
HepA+B,USA,CDC,2012,48.72667
HepB,,UNICEF SD,2021,0.24000
HepB,,PAHO,2021,0.53770
HepB,USA,CDC,2021,14.16694
HepB,,UNICEF SD,2020,0.24000
HepB,,PAHO,2020,0.53170
HepB,China & Lower Middle Income,V3P,2020,0.74912
HepB,Upper Middle Income,V3P,2020,1.94177
HepB,High Income & Super HICs,V3P,2020,9.37913
HepB,USA,CDC,2020,13.87305
HepB,,UNICEF SD,2019,0.24000
HepB,,PAHO,2019,0.21650
HepB,China & Lower Middle Income,V3P,2019,0.67365
HepB,Upper Middle Income,V3P,2019,1.25083
HepB,High Income & Super HICs,V3P,2019,6.08151
HepB,USA,CDC,2019,13.37417
HepB,,UNICEF SD,2018,0.17500
HepB,,PAHO,2018,0.21650
HepB,China & Lower Middle Income,V3P,2018,0.41217
HepB,Upper Middle Income,V3P,2018,1.87172
HepB,High Income & Super HICs,V3P,2018,6.35835
HepB,USA,CDC,2018,12.87667
HepB,,UNICEF SD,2017,0.17500
HepB,,PAHO,2017,0.21650
HepB,China & Lower Middle Income,V3P,2017,0.38000
HepB,Upper Middle Income,V3P,2017,2.26297
HepB,High Income & Super HICs,V3P,2017,5.02500
HepB,USA,CDC,2017,12.08462
HepB,,UNICEF SD,2016,0.17500
HepB,,PAHO,2016,0.22400
HepB,China & Lower Middle Income,V3P,2016,0.52163
HepB,Upper Middle Income,V3P,2016,1.75583
HepB,High Income & Super HICs,V3P,2016,4.62592
HepB,USA,CDC,2016,11.86083
HepB,,UNICEF SD,2015,0.16000
HepB,,PAHO,2015,0.26000
HepB,Upper Middle Income,V3P,2015,
HepB,High Income & Super HICs,V3P,2015,
HepB,USA,CDC,2015,11.35250
HepB,,UNICEF SD,2014,0.16000
HepB,,PAHO,2014,0.35000
HepB,China & Lower Middle Income,V3P,2014,
HepB,Upper Middle Income,V3P,2014,
HepB,High Income & Super HICs,V3P,2014,
HepB,USA,CDC,2014,11.20250
HepB,,UNICEF SD,2013,0.16000
HepB,,PAHO,2013,0.25000
HepB,China & Lower Middle Income,V3P,2013,
HepB,Upper Middle Income,V3P,2013,
HepB,High Income & Super HICs,V3P,2013,
HepB,USA,CDC,2013,11.10250
HepB,,UNICEF SD,2012,0.17500
HepB,,PAHO,2012,0.26667
HepB,USA,CDC,2012,10.75914
HepB (adult),,UNICEF SD,2021,0.30000
HepB (adult),,PAHO,2021,0.51690
HepB (adult),USA,CDC,2021,41.32241
HepB (adult),,UNICEF SD,2020,0.30000
HepB (adult),,PAHO,2020,0.50510
HepB (adult),Upper Middle Income,V3P,2020,4.66579
HepB (adult),High Income & Super HICs,V3P,2020,12.63798
HepB (adult),USA,CDC,2020,42.33277
HepB (adult),,UNICEF SD,2019,0.30000
HepB (adult),,PAHO,2019,0.28320
HepB (adult),China & Lower Middle Income,V3P,2019,0.75547
HepB (adult),Upper Middle Income,V3P,2019,1.89773
HepB (adult),High Income & Super HICs,V3P,2019,12.40683
HepB (adult),USA,CDC,2019,43.48300
HepB (adult),,UNICEF SD,2018,0.30000
HepB (adult),,PAHO,2018,0.25395
HepB (adult),China & Lower Middle Income,V3P,2018,1.36914
HepB (adult),Upper Middle Income,V3P,2018,3.22190
HepB (adult),High Income & Super HICs,V3P,2018,12.98588
HepB (adult),USA,CDC,2018,30.13913
HepB (adult),,UNICEF SD,2017,0.30000
HepB (adult),,PAHO,2017,0.25395
HepB (adult),China & Lower Middle Income,V3P,2017,0.96000
HepB (adult),Upper Middle Income,V3P,2017,2.65917
HepB (adult),High Income & Super HICs,V3P,2017,13.16048
HepB (adult),USA,CDC,2017,26.62300
HepB (adult),,PAHO,2016,0.28800
HepB (adult),China & Lower Middle Income,V3P,2016,1.13171
HepB (adult),Upper Middle Income,V3P,2016,2.15355
HepB (adult),High Income & Super HICs,V3P,2016,11.95837
HepB (adult),USA,CDC,2016,25.77931
HepB (adult),,PAHO,2015,0.32667
HepB (adult),China & Lower Middle Income,V3P,2015,
HepB (adult),Upper Middle Income,V3P,2015,
HepB (adult),High Income & Super HICs,V3P,2015,
HepB (adult),USA,CDC,2015,25.48278
HepB (adult),,PAHO,2014,0.33035
HepB (adult),Upper Middle Income,V3P,2014,
HepB (adult),High Income & Super HICs,V3P,2014,
HepB (adult),USA,CDC,2014,25.76400
HepB (adult),,PAHO,2013,0.33510
HepB (adult),Upper Middle Income,V3P,2013,
HepB (adult),High Income & Super HICs,V3P,2013,
HepB (adult),USA,CDC,2013,25.13138
HepB (adult),USA,CDC,2012,25.58956
Hexa,,PAHO,2021,21.12000
Hexa,USA,CDC,2021,91.59000
Hexa,,PAHO,2020,21.12000
Hexa,Upper Middle Income,V3P,2020,32.88066
Hexa,High Income & Super HICs,V3P,2020,44.96955
Hexa,,PAHO,2019,21.12000
Hexa,Upper Middle Income,V3P,2019,21.94898
Hexa,High Income & Super HICs,V3P,2019,36.26555
Hexa,,PAHO,2018,20.60000
Hexa,Upper Middle Income,V3P,2018,34.20621
Hexa,High Income & Super HICs,V3P,2018,40.00604
Hexa,,PAHO,2017,19.80000
Hexa,Upper Middle Income,V3P,2017,32.81333
Hexa,High Income & Super HICs,V3P,2017,44.74501
Hexa,,PAHO,2016,19.00000
Hexa,Upper Middle Income,V3P,2016,29.36973
Hexa,High Income & Super HICs,V3P,2016,42.10275
Hexa,,PAHO,2015,18.65000
Hexa,Upper Middle Income,V3P,2015,
Hexa,High Income & Super HICs,V3P,2015,
Hexa,Upper Middle Income,V3P,2014,
Hexa,High Income & Super HICs,V3P,2014,
Hexa,Upper Middle Income,V3P,2013,
Hexa,High Income & Super HICs,V3P,2013,
Hib,,PAHO,2021,2.15000
Hib,USA,CDC,2021,11.03833
Hib,,PAHO,2020,2.15000
Hib,Upper Middle Income,V3P,2020,3.59169
Hib,High Income & Super HICs,V3P,2020,16.68602
Hib,USA,CDC,2020,10.84378
Hib,,PAHO,2019,2.05000
Hib,Upper Middle Income,V3P,2019,4.14827
Hib,High Income & Super HICs,V3P,2019,10.98235
Hib,USA,CDC,2019,10.70267
Hib,,PAHO,2018,2.05000
Hib,Upper Middle Income,V3P,2018,5.94089
Hib,High Income & Super HICs,V3P,2018,10.48049
Hib,USA,CDC,2018,10.64121
Hib,,PAHO,2017,2.05000
Hib,Upper Middle Income,V3P,2017,6.91750
Hib,High Income & Super HICs,V3P,2017,9.51546
Hib,USA,CDC,2017,10.55407
Hib,,PAHO,2016,2.05000
Hib,Upper Middle Income,V3P,2016,6.70860
Hib,High Income & Super HICs,V3P,2016,8.84901
Hib,USA,CDC,2016,10.57600
Hib,,PAHO,2015,1.95000
Hib,Upper Middle Income,V3P,2015,
Hib,High Income & Super HICs,V3P,2015,
Hib,USA,CDC,2015,10.88000
Hib,,PAHO,2014,1.70000
Hib,Upper Middle Income,V3P,2014,
Hib,High Income & Super HICs,V3P,2014,
Hib,USA,CDC,2014,10.81833
Hib,,PAHO,2013,1.95000
Hib,Upper Middle Income,V3P,2013,
Hib,High Income & Super HICs,V3P,2013,
Hib,USA,CDC,2013,10.71722
Hib,USA,CDC,2012,10.30652
HPV,,UNICEF SD,2021,4.50000
HPV,USA,CDC,2021,192.18222
HPV,,UNICEF SD,2020,4.50000
HPV,,PAHO,2020,9.98000
HPV,Upper Middle Income,V3P,2020,38.52818
HPV,High Income & Super HICs,V3P,2020,67.11706
HPV,USA,CDC,2020,184.05333
HPV,,UNICEF SD,2019,4.50000
HPV,Upper Middle Income,V3P,2019,11.38540
HPV,High Income & Super HICs,V3P,2019,56.68199
HPV,USA,CDC,2019,174.37500
HPV,,UNICEF SD,2018,4.50000
HPV,,PAHO,2018,9.04000
HPV,Upper Middle Income,V3P,2018,27.92710
HPV,High Income & Super HICs,V3P,2018,56.29864
HPV,USA,CDC,2018,163.11000
HPV,,UNICEF SD,2017,4.50000
HPV,,PAHO,2017,9.15000
HPV,Upper Middle Income,V3P,2017,40.12608
HPV,High Income & Super HICs,V3P,2017,52.41719
HPV,USA,CDC,2017,137.72167
HPV,,UNICEF SD,2016,4.50000
HPV,,PAHO,2016,8.50000
HPV,Upper Middle Income,V3P,2016,31.73229
HPV,High Income & Super HICs,V3P,2016,58.29977
HPV,USA,CDC,2016,131.26583
HPV,,UNICEF SD,2015,4.50000
HPV,,PAHO,2015,8.50000
HPV,Upper Middle Income,V3P,2015,
HPV,High Income & Super HICs,V3P,2015,
HPV,USA,CDC,2015,117.98875
HPV,,UNICEF SD,2014,4.50000
HPV,Upper Middle Income,V3P,2014,
HPV,High Income & Super HICs,V3P,2014,
HPV,USA,CDC,2014,109.62767
HPV,,UNICEF SD,2013,4.50000
HPV,,PAHO,2013,13.43500
HPV,Upper Middle Income,V3P,2013,
HPV,High Income & Super HICs,V3P,2013,
HPV,USA,CDC,2013,105.09233
HPV,,PAHO,2012,13.86500
HPV,USA,CDC,2012,100.92140
IPV,,UNICEF SD,2021,1.75000
IPV,,PAHO,2021,3.10000
IPV,USA,CDC,2021,13.96667
IPV,,UNICEF SD,2020,2.09000
IPV,,PAHO,2020,3.10000
IPV,China & Lower Middle Income,V3P,2020,4.35869
IPV,Upper Middle Income,V3P,2020,4.33991
IPV,High Income & Super HICs,V3P,2020,13.31586
IPV,USA,CDC,2020,13.75000
IPV,,UNICEF SD,2019,2.09000
IPV,,PAHO,2019,4.30000
IPV,China & Lower Middle Income,V3P,2019,4.05162
IPV,Upper Middle Income,V3P,2019,4.09675
IPV,High Income & Super HICs,V3P,2019,12.58300
IPV,USA,CDC,2019,13.48750
IPV,,UNICEF SD,2018,0.92593
IPV,,PAHO,2018,3.65000
IPV,China & Lower Middle Income,V3P,2018,5.22576
IPV,Upper Middle Income,V3P,2018,3.63072
IPV,High Income & Super HICs,V3P,2018,11.80814
IPV,USA,CDC,2018,13.22909
IPV,,UNICEF SD,2017,0.84574
IPV,,PAHO,2017,3.60000
IPV,China & Lower Middle Income,V3P,2017,2.25000
IPV,Upper Middle Income,V3P,2017,4.78603
IPV,High Income & Super HICs,V3P,2017,10.45456
IPV,USA,CDC,2017,12.89778
IPV,,UNICEF SD,2016,0.82934
IPV,,PAHO,2016,2.35000
